id,score,score_factor
1767,6,very good
1768,6,very good
1769,6,very good
1770,3,good
1771,1,good
1772,3,good
1773,3,good
1774,3,good
1775,5,very good
1776,5,very good
1777,1,good
1778,18,very good
1779,18,very good
1780,18,very good
1781,18,very good
1782,30,very good
1783,30,very good
1784,30,very good
1785,1,good
1786,1,good
1787,1,good
1788,1,good
1789,4,good
1790,4,good
1791,1,good
1792,7,very good
1793,7,very good
1794,7,very good
1795,7,very good
1796,6,very good
1797,1,good
1798,1,good
1799,3,good
1800,3,good
1801,1,good
1802,-5,bad
1803,-5,bad
1804,-1,bad
1805,1,good
1806,1,good
1807,3,good
1808,4,good
1809,4,good
1810,1,good
1811,1,good
1812,4,good
1813,4,good
1814,4,good
1815,4,good
1816,4,good
1817,16,very good
1818,-1,bad
1819,4,good
1820,1,good
1821,1,good
1822,5,very good
1823,5,very good
1824,5,very good
1825,6,very good
1826,6,very good
1827,4,good
1828,4,good
1829,1,good
1830,1,good
1831,4,good
1832,1,good
1833,1,good
1834,4,good
1835,2,good
1836,4,good
1837,4,good
1838,1,good
1839,1,good
1840,1,good
1841,1,good
1842,-1,bad
1843,1,good
1844,1,good
1845,3,good
1846,3,good
1847,4,good
1848,4,good
1849,4,good
1850,4,good
1851,4,good
1852,1,good
1853,1,good
1854,1,good
1855,64,very good
1856,4,good
1857,1,good
1858,-1,bad
1859,1,good
1860,1,good
1861,1,good
1862,1,good
1863,1,good
1864,3,good
1865,1,good
1866,-1,bad
1867,-1,bad
1868,-1,bad
1869,1,good
1870,-6,very bad
1871,2,good
1872,4,good
1873,-1,bad
1874,-1,bad
1875,1,good
1876,1,good
1877,1,good
1878,1,good
1879,1,good
1880,1,good
1881,21,very good
1882,2,good
1883,-7,very bad
1884,-7,very bad
1885,6,very good
1886,6,very good
1887,-3,bad
1888,-1,bad
1889,1,good
1890,4,good
1891,1,good
1892,-1,bad
1893,2,good
1894,1,good
1895,1,good
1896,1,good
1897,3,good
1898,3,good
1899,1,good
1900,1,good
1901,1,good
1902,3,good
1903,16,very good
1904,1,good
1905,-1,bad
1906,1,good
1907,1,good
1908,1,good
1909,4,good
1910,-1,bad
1911,1,good
1912,4,good
1913,1,good
1914,-1,bad
1915,-1,bad
1916,-1,bad
1917,-1,bad
1918,-1,bad
1919,5,very good
1920,-3,bad
1921,-3,bad
1922,-12,very bad
1923,1,good
1924,1,good
1925,1,good
1926,1,good
1927,3,good
1928,3,good
1929,3,good
1930,1,good
1931,1,good
1932,1,good
1933,1,good
1934,-3,bad
1935,-5,bad
1936,1,good
1937,1,good
1938,1,good
1939,1,good
1940,-1,bad
1941,3,good
1942,4,good
1943,1,good
1944,1,good
1945,3,good
1946,3,good
1947,1,good
1948,1,good
1949,1,good
1950,2,good
1951,-1,bad
1952,-1,bad
1953,1,good
1954,-1,bad
1955,2,good
1956,2,good
1957,12,very good
1958,1,good
1959,1,good
1960,2,good
1961,2,good
1962,1,good
1963,1,good
1964,4,good
1965,-1,bad
1966,1,good
1967,1,good
1968,-1,bad
1969,16,very good
1970,16,very good
1971,1,good
1972,-1,bad
1973,1,good
1974,1,good
1975,5,very good
1976,6,very good
1977,-3,bad
1978,-3,bad
1979,-1,bad
